Novel_Name,Series_Name,Author_Name,Genre,Average_Rating,No_of_Ratings,No_of_Reviews,Score,No_of_Votes,Publish_Year,Pages
Percepliquis ,The Riyria Revelations,Michael J. Sullivan ,Epic Fantasy,4.56,"9,838",588,453,7,"January 16, 2012",606
"The Lion, the Witch and the Wardrobe ",Chronicles of Narnia,C.S. Lewis,Epic Fantasy,4.23,"27,38,724","32,116","21,247",236,"October 16, 1950",206
Blood Borne ,Cathedral Chronicles,Elizabeth Wixley,Epic Fantasy,4.47,153,42,"1,279",13,"February 19, 2014",233
The Chronicles of Corum ,Corum,Michael Moorcock,Epic Fantasy,4.04,"1,703",30,584,7,"January 1, 1971",382
Exile ,"Forgotten Realms: The Dark Elf Trilogy, #2; Legend of Drizzt",R.A. Salvatore,Epic Fantasy,4.23,"65,105","1,491",453,7,"December 1, 1990",343
The Blinding Knife ,Lightbringer,Brent Weeks ,Epic Fantasy,4.41,"86,513","2,970","3,892",48,"September 1, 2012",671
The Annotated legends,,Margaret Weis,Epic Fantasy,4.42,"1,658",57,372,5,"January 1, 1988",1312
By the Sword ,Valdemar,Mercedes Lackey,Epic Fantasy,4.27,"20,929",370,"1,262",19,"February 5, 1991",492
A Wrinkle in Time ,Time Quintet,Madeleine L'Engle,Epic Fantasy,3.98,"11,87,854","39,048",797,11,"January 1, 1962",218
The Eyes of the Dragon,,Stephen King ,Epic Fantasy,3.94,"1,26,883","6,392","21,094",230,"February 2, 1987",427
A Spell for Chameleon ,Xanth,Piers Anthony,Epic Fantasy,3.92,"45,808","1,864","1,987",26,"September 1, 1977",344
Mythago Wood ,Mythago Wood,Robert Holdstock,Epic Fantasy,3.78,"10,068",941,"1,985",23,"January 1, 1984",332
The City of Brass ,The Daevabad Trilogy,S.A. Chakraborty ,Epic Fantasy,4.15,"1,12,485","16,528","1,257",15,"November 14, 2017",532
Kull: Exile of Atlantis,,Robert E. Howard,Epic Fantasy,4.02,"2,181",165,583,8,"January 1, 1967",317
The Riddle ,The Books of Pellinor,Alison Croggon ,Epic Fantasy,4.11,"21,751",650,452,6,"May 2, 2005",490
Red Sister ,Book of the Ancestor,Mark  Lawrence ,Epic Fantasy,4.17,"56,571","5,964","3,871",43,"April 4, 2017",467
Days of Blood & Starlight ,Daughter of Smoke & Bone,Laini Taylor ,Epic Fantasy,4.14,"1,62,428","15,493",372,5,"November 6, 2012",517
The Ruins of Gorlan ,Ranger's Apprentice,John Flanagan,Epic Fantasy,4.25,"1,56,202","10,015","20,047",215,"November 1, 2004",249
The Twelve Kingdoms: Sea of Shadow ,The Twelve Kingdoms,Fuyumi Ono,Epic Fantasy,4.22,"2,869",205,796,9,"June 1, 1992",464
The Land: Raiders ,Chaos Seeds,Aleron Kong ,Epic Fantasy,4.43,"11,862",352,"1,979",20,"January 28, 2017",510
The Darkest Core ,Netherdei,Peter Hackshaw ,Epic Fantasy,4.14,258,10,"1,256",13,"October 12, 2023",776
The Atlas Six ,The Atlas,Olivie Blake ,Epic Fantasy,3.63,"1,83,070","31,188",792,8,"January 31, 2020",556
Night Winds,,Karl Edward Wagner,Epic Fantasy,4.28,"1,054",71,450,6,"August 1, 1978",286
The Shadow of the Wind ,The Cemetery of Forgotten Books,Carlos Ruiz Zafón,Epic Fantasy,4.3,"6,22,292","50,002",583,8,"May 1, 2001",487
Elric of Melniboné ,The Elric Saga,Michael Moorcock,Epic Fantasy,3.89,"27,604","1,489","19,787",216,"January 1, 1972",181
Unravel Me ,Shatter Me,Tahereh Mafi,Epic Fantasy,4.15,"4,98,129","46,200","3,864",40,"February 5, 2013",461
Talyn ,Korre,Holly Lisle ,Epic Fantasy,3.81,842,70,371,4,"January 1, 2005",592
Predator & Prey ,The Devenshire Chronicles,Tom Sechrist ,Epic Fantasy,4.59,133,5,"3,836",39,"March 6, 2014",441
The Hero and the Crown ,Damar,Robin McKinley,Epic Fantasy,4.21,"52,957","2,631","18,924",204,"October 15, 1984",240
Talion: Revenant,,Michael A. Stackpole ,Epic Fantasy,4.17,"2,838",150,791,10,"January 1, 1997",467
The One ,Species Intervention #6609,J.K. Accinni,Epic Fantasy,4.46,267,48,583,6,"May 6, 2013",
The Priory of the Orange Tree ,The Roots of Chaos,Samantha    Shannon ,Epic Fantasy,4.21,"1,86,367","30,135","1,978",23,"February 26, 2019",848
When Darkness Falls ,Obsidian Mountain,Mercedes Lackey,Epic Fantasy,4.19,"7,629",167,449,7,"January 1, 2006",602
The Time of the Dark ,Darwath,Barbara Hambly ,Epic Fantasy,3.98,"5,404",255,"1,253",16,"April 12, 1982",263
The Anvil of Ice ,The Winter of the World,Michael Scott Rohan,Epic Fantasy,3.93,"1,319",86,370,4,"January 1, 1986",354
"Stop! Don't Read This, It's Impossible!",,Malcolm McCoard ,Epic Fantasy,4.55,194,11,"1,960",20,"January 1, 2018",247
The Complete Fairy Tales of The Brothers Grimm,,Jacob Grimm,Epic Fantasy,4.28,"1,63,761","3,518","1,248",16,"December 20, 1812",762
Beyond the Shadows ,Night Angel,Brent Weeks ,Epic Fantasy,4.27,"97,730","2,480","3,814",47,"December 1, 2008",689
Desolace ,Desolace,Lucian Barnes ,Epic Fantasy,3.9,100,38,791,8,"January 18, 2012",265
The Deed of Paksenarrion ,The Deed of Paksenarrion,Elizabeth Moon,Epic Fantasy,4.32,"13,448",748,"18,643",199,"February 1, 1992",1040
The Rage of Dragons ,The Burning,Evan Winter ,Epic Fantasy,4.31,"30,935","4,512",369,4,"September 10, 2017",535
Sojourn ,"Forgotten Realms: The Dark Elf Trilogy, #3; Legend of Drizzt",R.A. Salvatore,Epic Fantasy,4.21,"66,791","1,250",448,7,"May 1, 1991",309
Towers of Midnight ,The Wheel of Time,Robert Jordan,Epic Fantasy,4.47,"1,55,354","4,215","1,956",29,"November 2, 2010",863
The Misenchanted Sword ,Ethshar,Lawrence Watt-Evans ,Epic Fantasy,4.03,"3,602",164,582,7,"August 12, 1985",228
Dragons of Autumn Twilight  ,Dragonlance: Chronicles,Margaret Weis,Epic Fantasy,4.01,"1,16,351","2,896","3,800",47,"November 12, 1984",444
The White Dragon ,Pern: Dragonriders of Pern,Anne McCaffrey,Epic Fantasy,4.19,"47,259","1,018",789,12,"June 1, 1978",468
Weaveworld,,Clive Barker ,Epic Fantasy,4.13,"32,013","1,593","3,795",44,"October 1, 1987",721
The Alloy of Law ,Mistborn,Brandon Sanderson ,Epic Fantasy,4.21,"2,11,585","13,200","1,245",16,"November 8, 2011",332
Cold Magic ,Spiritwalker,Kate Elliott ,Epic Fantasy,3.72,"9,136","1,122",581,8,"January 1, 2010",528
The Icewind Dale Trilogy Collector's Edition ,"Forgotten Realms: Icewind Dale, #1-3; Legend of Drizzt",R.A. Salvatore,Epic Fantasy,4.31,"16,300",264,"18,170",198,"January 1, 1990",1040
Guardians of the Keep ,The Bridge of D'Arnath,Carol Berg ,Epic Fantasy,3.87,"1,912",56,367,5,"September 7, 2004",528
Bridge of Birds ,The Chronicles of Master Li and Number Ten Ox,Barry Hughart,Epic Fantasy,4.27,"10,340","1,177","1,955",23,"April 1, 1984",278
Wintertide ,The Riyria Revelations,Michael J. Sullivan ,Epic Fantasy,4.45,"10,361",442,446,7,"January 1, 2010",317
The Liar's Key ,The Red Queen's War,Mark  Lawrence ,Epic Fantasy,4.24,"20,088","1,168","1,240",16,"June 2, 2015",480
A Shadow in Summer ,Long Price Quartet,Daniel Abraham,Epic Fantasy,3.63,"12,766",956,"1,955",24,"March 7, 2006",336
The One Kingdom ,The Swans' War,Sean Russell,Epic Fantasy,3.72,"1,793",98,366,4,"January 1, 2001",517
The Alchemists of Loom ,Loom Saga,Elise Kova ,Epic Fantasy,3.96,"7,174","1,110",789,8,"January 10, 2017",395
Switch! The Lost Kingdoms of Karibu,,Karen  Prince ,Epic Fantasy,4.16,503,76,"3,779",38,"January 1, 2012",276
The Silent Blade ,"Forgotten Realms: Paths of Darkness, #1; Legend of Drizzt",R.A. Salvatore,Epic Fantasy,4.13,"21,067",261,579,8,"January 1, 1998",416
The Hero of Ages ,Mistborn,Brandon Sanderson ,Epic Fantasy,4.53,"4,07,083","28,079","16,830",189,"October 14, 2008",572
Lord Foul's Bane ,The Chronicles of Thomas Covenant the Unbeliever,Stephen R. Donaldson,Epic Fantasy,3.72,"47,663","2,040",445,8,"June 1, 1977",480
Taliesin ,The Pendragon Cycle,Stephen R. Lawhead,Epic Fantasy,4,"17,036",794,"1,952",23,"January 1, 1987",496
The Tombs of Atuan ,Earthsea Cycle,Ursula K. Le Guin,Epic Fantasy,4.12,"1,15,089","5,245","1,234",19,"January 1, 1970",180
Shadow's Edge ,Night Angel,Brent Weeks ,Epic Fantasy,4.25,"1,02,490","2,336","3,736",47,"November 1, 2008",636
The Song of Rhiannon,,Evangeline Walton,Epic Fantasy,4.01,362,26,365,5,"August 1, 1972",208
The Edge of the World ,Terra Incognita,Kevin J. Anderson ,Epic Fantasy,3.53,"1,595",194,443,5,"January 1, 2009",609
The Siege of Macindaw ,Ranger's Apprentice,John Flanagan,Epic Fantasy,4.34,"68,136","1,916",788,10,"May 1, 2006",320
The Dream-Quest of Unknown Kadath,,H.P. Lovecraft,Epic Fantasy,3.94,"7,374",543,"1,231",15,"May 1, 1943",144
Sailing to Sarantium ,The Sarantine Mosaic,Guy Gavriel Kay ,Epic Fantasy,4.19,"15,016",774,"3,733",46,"September 7, 1998",448
City of Stairs ,The Divine Cities,Robert Jackson Bennett ,Epic Fantasy,4.09,"33,992","3,927",579,7,"September 9, 2014",452
Daughter of the Empire ,The Empire Trilogy,Raymond E. Feist,Epic Fantasy,4.29,"37,653","1,187","16,823",187,"January 1, 1987",421
Interview with the Vampire ,The Vampire Chronicles,Anne Rice,Epic Fantasy,4.02,"5,79,572","15,638","3,721",46,"April 12, 1976",346
Neverwhere ,London Below,Neil Gaiman ,Epic Fantasy,4.17,"5,21,545","28,825","1,934",25,"September 16, 1996",370
Witch World ,Witch World Series 1: Estcarp Cycle,Andre Norton,Epic Fantasy,3.81,"4,826",289,443,7,"January 1, 1963",288
The Birthgrave ,Birthgrave,Tanith Lee,Epic Fantasy,3.76,"1,627",153,576,7,"June 1, 1975",408
Delusion's Master ,Flat Earth,Tanith Lee,Epic Fantasy,4.18,"1,005",61,364,5,"January 1, 1981",208
The Runaway King ,Ascendance,Jennifer A. Nielsen ,Epic Fantasy,4.24,"45,682","4,398",440,5,"March 1, 2013",331
Touching the moon,,Malcolm McCoard ,Epic Fantasy,4.31,117,4,"1,931",20,,
Suldrun's Garden ,Lyonesse,Jack Vance,Epic Fantasy,3.93,"5,583",402,"1,229",14,"January 1, 1983",448
The Octunnumi Fosbit Files Prologue,,Trevor Alan Foris ,Epic Fantasy,4.04,"9,831",505,787,8,"March 1, 2020",520
Homeland ,"Forgotten Realms: The Dark Elf Trilogy, #1; Legend of Drizzt",R.A. Salvatore,Epic Fantasy,4.26,"88,323","3,284",576,8,"September 19, 1990",343
The Curse of Chalion ,World of the Five Gods,Lois McMaster Bujold ,Epic Fantasy,4.17,"38,731","2,932","16,724",181,"August 14, 2001",490
The Naming ,The Books of Pellinor,Alison Croggon ,Epic Fantasy,4.03,"26,387","1,737","3,667",42,"January 1, 2002",492
Spirit Gate ,Crossroads,Kate Elliott ,Epic Fantasy,3.59,"3,929",315,364,5,"October 17, 2006",445
The Hike,,Drew Magary ,Epic Fantasy,3.95,"20,337","2,992",787,8,"August 2, 2016",278
Titus Groan ,Gormenghast,Mervyn Peake,Epic Fantasy,3.92,"20,244","1,981","1,197",15,"January 1, 1946",396
A ​Court of Silver Flames ,A Court of Thorns and Roses,Sarah J. Maas ,Epic Fantasy,4.46,"8,61,278","76,783",364,4,"February 16, 2021",757
Winter's Heart ,The Wheel of Time,Robert Jordan,Epic Fantasy,3.97,"1,34,824","3,617","1,926",27,"November 7, 2000",780
The Chronicles of Master Li and Number Ten Ox ,The Chronicles of Master Li and Number Ten Ox,Barry Hughart,Epic Fantasy,4.37,"1,814",167,575,7,"October 1, 1998",652
The Fairy Godmother ,Five Hundred Kingdoms,Mercedes Lackey,Epic Fantasy,3.99,"18,478","1,103",439,6,"January 1, 2004",479
King of Thorns ,The Broken Empire,Mark  Lawrence ,Epic Fantasy,4.19,"65,360","3,164","16,508",183,"August 1, 2012",449
Six of Crows ,Six of Crows,Leigh Bardugo ,Epic Fantasy,4.49,"9,07,973","98,125","3,647",41,"September 29, 2015",465
Lirael ,Abhorsen,Garth Nix ,Epic Fantasy,4.29,"1,17,907","3,784",783,10,"April 21, 2001",464
Diplomat of Uram,,Richard R. Matthews,Epic Fantasy,4.45,38,7,"1,192",12,"April 13, 2020",189
The Curse of Cardoness: Maya's Magical Adventures continue,,Malcolm McCoard ,Epic Fantasy,4.39,120,3,"1,926",20,"September 28, 2019",212
The Cloud Roads ,Books of the Raksura,Martha Wells ,Epic Fantasy,3.97,"13,166","1,601",439,5,"March 1, 2011",278
Tress of the Emerald Sea,,Brandon Sanderson ,Epic Fantasy,4.46,"88,527","13,712",361,4,"January 10, 2023",483
The Return of the Dragons,,Kenneth Kappelmann,Epic Fantasy,4.51,55,3,"1,187",12,"January 1, 2013",429
Mélusine ,Doctrine of Labyrinths,Sarah Monette ,Epic Fantasy,3.66,"4,264",440,575,7,"June 27, 2005",477
The Bear and the Nightingale ,The Winternight Trilogy,Katherine Arden ,Epic Fantasy,4.1,"1,93,402","26,276",782,10,"January 10, 2017",319
The Dragon's Path ,The Dagger and the Coin,Daniel Abraham,Epic Fantasy,3.81,"21,314","1,564","3,644",43,"April 7, 2011",555
The Last Unicorn ,The Last Unicorn,Peter S. Beagle ,Epic Fantasy,4.18,"1,17,809","6,904","16,414",185,"January 1, 1968",294
In The Devil's Own Words,,Elizabeth Wixley,Epic Fantasy,4.41,179,35,"1,185",12,"July 19, 2012",
Antrax ,Voyage of the Jerle Shannara,Terry Brooks ,Epic Fantasy,3.97,"16,773",223,360,7,"September 18, 2001",405
Hammered ,Legacy of Magic,Lindsay Buroker ,Epic Fantasy,4.27,"6,610",407,778,8,"November 9, 2022",297
"Magic Lost, Trouble Found ",Raine Benares,Lisa Shearin ,Epic Fantasy,3.75,"7,339",569,438,6,"March 29, 2007",345
Sword-Dancer ,Tiger and Del,Jennifer Roberson ,Epic Fantasy,3.99,"8,062",264,"1,914",22,"September 1, 1986",286
Best Served Cold,,Joe Abercrombie,Epic Fantasy,4.22,"88,283","4,746","16,180",183,"June 1, 2009",534
Running with the Demon ,Word & Void,Terry Brooks ,Epic Fantasy,3.98,"28,693",786,773,10,"August 19, 1997",420
Get Rich or Get Lucky,,Max Nowaz ,Epic Fantasy,4.25,"11,928",61,"1,183",12,"September 18, 2019",276
Marked ,House of Night,P.C. Cast ,Epic Fantasy,3.81,"4,89,804","16,103","3,639",38,"May 1, 2007",306
Memnoch the Devil ,The Vampire Chronicles,Anne Rice,Epic Fantasy,3.76,"81,506","1,974",575,8,"July 3, 1995",354
Blood and Memory ,The Quickening,Fiona McIntosh ,Epic Fantasy,3.97,"3,257",85,357,4,"January 1, 2003",448
Murder in the Coven: Maya's Magical Adventures continue,,Malcolm McCoard ,Epic Fantasy,4.41,107,0,"1,902",20,"December 30, 2019",141
Cast in Shadow ,Chronicles of Elantra,Michelle Sagara,Epic Fantasy,3.81,"17,385","1,114","3,625",42,"July 1, 2005",507
The Heart of the Stone ,Stonewiser,Dora Machado ,Epic Fantasy,3.75,333,36,773,8,"May 1, 2008",464
The Lone Apprentice,,I.K. Spencer ,Epic Fantasy,4.13,45,12,"1,181",12,"February 4, 2014",
The Wishsong of Shannara ,The Original Shannara Trilogy,Terry Brooks ,Epic Fantasy,3.98,"52,991",925,572,9,"April 12, 1985",512
River of Stars ,Under Heaven,Guy Gavriel Kay ,Epic Fantasy,4.15,"7,306",816,431,5,"April 1, 2013",639
On a Pale Horse ,Incarnations of Immortality,Piers Anthony,Epic Fantasy,4.13,"39,511","1,813","15,927",176,"October 1, 1983",325
Free the Darkness ,King's Dark Tidings,Kel Kade ,Epic Fantasy,4.24,"21,508","1,347",357,4,"December 28, 2015",483
Hunted by Fire,,Jim Hepburn ,Epic Fantasy,4.95,21,10,"1,900",19,"October 1, 2022",440
Heir of Novron ,The Riyria Revelations,Michael J. Sullivan ,Epic Fantasy,4.5,"48,408","2,797","3,585",43,"January 26, 2012",932
Baby ,Species Intervention #6609,J.K. Accinni,Epic Fantasy,3.81,885,229,772,8,"August 26, 2012",173
The Starbirth Assignment: Shifter ,Starbirth,J.M. Johnson ,Epic Fantasy,4.1,63,10,357,4,"July 5, 2016",169
Wintersmith ,"Discworld, #35; Tiffany Aching",Terry Pratchett,Epic Fantasy,4.24,"61,792","2,206",562,9,"September 21, 2006",325
The Eyes of the Overworld ,The Dying Earth,Jack Vance,Epic Fantasy,4.13,"4,492",309,428,7,"January 1, 1966",190
Armageddon's Children ,Genesis of Shannara,Terry Brooks ,Epic Fantasy,4.11,"16,782",794,"1,176",15,"September 30, 2006",384
Watership Down ,Watership Down,Richard  Adams,Epic Fantasy,4.08,"4,76,357","17,111","3,577",43,"November 1, 1972",478
The Dragon God ,The Horn King,Brae Wyckoff ,Epic Fantasy,4.45,49,14,770,8,"December 18, 2013",278
Across the Nightingale Floor ,Tales of the Otori,Lian Hearn,Epic Fantasy,4.06,"41,556","2,488","15,194",164,"August 26, 2002",305
Lion of Macedon ,Greek Series,David Gemmell,Epic Fantasy,4.27,"5,343",173,763,10,"May 15, 1991",516
A Cavern of Black Ice ,Sword of Shadows,J.V. Jones,Epic Fantasy,3.88,"9,091",263,"1,899",23,"March 1, 1999",769
Jarka Ruus ,High Druid of Shannara,Terry Brooks ,Epic Fantasy,3.98,"14,398",227,356,6,"August 26, 2003",416
The Elf Queen of Shannara ,Heritage of Shannara,Terry Brooks ,Epic Fantasy,4.05,"31,436",332,560,9,"January 1, 1992",416
Alice’s Adventures in Wonderland / Through the Looking-Glass,,Lewis Carroll,Epic Fantasy,4.06,"5,55,739","15,077","1,173",17,"December 27, 1871",239
The Crown Tower ,The Riyria Chronicles,Michael J. Sullivan ,Epic Fantasy,4.34,"37,479","2,169","3,561",44,"August 1, 2013",384
Aurian ,Artefacts of Power,Maggie Furey,Epic Fantasy,3.93,"3,312",122,426,5,"January 1, 1994",608
Echo ,Species Intervention #6609,J.K. Accinni,Epic Fantasy,4.12,394,112,762,8,"August 26, 2012",219
The Path of Daggers ,The Wheel of Time,Robert Jordan,Epic Fantasy,3.93,"1,41,519","3,669","1,893",26,"October 20, 1998",685
The Crown Conspiracy ,The Riyria Revelations,Michael J. Sullivan ,Epic Fantasy,4.2,"23,259","1,341","15,123",166,"January 1, 2008",296
White Night ,The Dresden Files,Jim Butcher ,Epic Fantasy,4.38,"1,18,011","3,087",356,7,"April 3, 2007",407
Lord Valentine's Castle ,Lord Valentine,Robert Silverberg,Epic Fantasy,3.89,"9,474",426,"1,891",23,"November 1, 1980",506
A Memory of Light ,The Wheel of Time,Robert Jordan,Epic Fantasy,4.56,"1,40,952","8,273","3,511",44,"January 8, 2013",912
The Looking Glass Wars ,The Looking Glass Wars,Frank Beddor ,Epic Fantasy,3.92,"44,827","4,050","1,167",16,"September 1, 2004",384
Los días del venado ,La saga de los confines,Liliana Bodoc,Epic Fantasy,3.88,"3,111",375,426,5,"January 1, 1999",322
Dragon Wing ,The Death Gate Cycle,Margaret Weis,Epic Fantasy,3.97,"28,117",758,"14,994",165,"January 1, 1990",430
The Tower of the Swallow ,The Witcher,Andrzej Sapkowski,Epic Fantasy,4.22,"95,081","4,168",760,9,"January 1, 1997",448
The False Prince ,Ascendance,Jennifer A. Nielsen ,Epic Fantasy,4.23,"94,356","11,188",755,8,"April 1, 2012",342
"Little, Big",,John Crowley,Epic Fantasy,3.81,"11,292","1,637",356,4,"September 1, 1981",538
The Lament of the Stone ,Stonewiser,Dora Machado ,Epic Fantasy,4.05,121,9,"1,166",12,"February 15, 2011",602
Wild Magic ,Immortals,Tamora Pierce ,Epic Fantasy,4.31,"79,472","2,500","14,705",163,"December 1, 1992",362
The Mad Ship ,Liveship Traders,Robin Hobb ,Epic Fantasy,4.29,"65,425","2,795","1,878",26,"March 1, 1999",906
Rise of Empire ,The Riyria Revelations,Michael J. Sullivan ,Epic Fantasy,4.36,"50,154","2,244","3,477",43,"April 8, 2010",786
Falling Kingdoms ,Falling Kingdoms,Morgan Rhodes ,Epic Fantasy,3.78,"60,374","8,281",356,4,"December 11, 2012",412
"The Book of Lost Tales, Part One ",The History of Middle-Earth,J.R.R. Tolkien,Epic Fantasy,3.86,"15,031",477,"1,163",16,"October 28, 1983",367
Hex of the Witch ,The Other Witch,Heather G. Harris ,Epic Fantasy,4.46,"1,596",196,"3,464",36,"September 19, 2023",337
Green Rider ,Green Rider,Kristen Britain,Epic Fantasy,4.08,"37,720","2,209","14,537",161,"November 1, 1998",471
They Came From The North,,Malcolm McCoard ,Epic Fantasy,4.28,98,1,"1,873",20,,
Take a Thief ,Valdemar,Mercedes Lackey,Epic Fantasy,4.15,"13,700",245,"1,156",17,"January 1, 2001",435
The Priory of the Orange Tree ,The Roots of Chaos,Samantha    Shannon ,Epic Fantasy,4.21,"1,86,367","30,135",356,4,"February 26, 2019",830
The Stolen Heir ,The Stolen Heir Duology,Holly Black ,Epic Fantasy,4.02,"79,802","14,673","3,460",36,"January 3, 2023",356
The Diamond Throne ,The Elenium,David Eddings,Epic Fantasy,3.97,"34,879",662,"14,100",157,"May 1, 1989",435
Gregor the Overlander ,Underland Chronicles,Suzanne Collins,Epic Fantasy,4.03,"1,04,083","7,372","1,871",21,"September 1, 2003",326
Crown of Midnight ,Throne of Glass,Sarah J. Maas ,Epic Fantasy,4.35,"8,53,701","61,839","3,437",39,"August 15, 2013",420
The Return of the King ,The Lord of the Rings,J.R.R. Tolkien,Epic Fantasy,4.56,"8,81,836","17,529",355,6,"October 20, 1955",404
Shadow Team GB ,Starbirth,J.M. Johnson ,Epic Fantasy,4.76,98,12,354,4,"June 6, 2015",314
Rhapsody: Child of Blood ,Symphony of Ages,Elizabeth Haydon,Epic Fantasy,3.97,"19,711",634,"13,976",151,"September 4, 1999",656
Morning Star ,Red Rising Saga,Pierce Brown ,Epic Fantasy,4.5,"1,98,102","16,221",353,4,"February 9, 2016",544
Arrows of the Queen ,Heralds of Valdemar,Mercedes Lackey,Epic Fantasy,4.13,"37,782","1,346","13,624",153,"January 1, 1987",320
The Chain Between Worlds ,The Lost Artefacts,Johnathon Nicolaou ,Epic Fantasy,4.53,"1,102",57,"13,477",135,"September 28, 2021",335
The Way of Shadows ,Night Angel,Brent Weeks ,Epic Fantasy,4.15,"1,66,598","5,903","12,719",146,"October 1, 2008",645
The Well of Ascension ,Mistborn,Brandon Sanderson ,Epic Fantasy,4.38,"4,45,872","27,011","12,632",148,"August 21, 2007",578
Riddle-Master ,Riddle-Master,Patricia A. McKillip,Epic Fantasy,4.22,"10,858",618,"12,260",135,"January 1, 1976",578
Magic's Pawn ,The Last Herald-Mage,Mercedes Lackey,Epic Fantasy,4.21,"26,625","1,076","12,060",136,"June 6, 1989",349
The Lions of Al-Rassan,,Guy Gavriel Kay ,Epic Fantasy,4.3,"22,606","1,723","11,799",133,"January 1, 1995",528
Jhereg ,Vlad Taltos,Steven Brust ,Epic Fantasy,4.13,"14,894",660,"11,745",126,"April 1, 1983",307
